,Sample No,Temperature/℃,Time/s,Point_No,L*Before,a*Before,b*Before,L*After,a*After,b*After
4,,225,10,5,76.06,5.01,18.38,74.32,5.1,19.7
5,,225,10,6,75.59,5.26,18.26,73.48,5.21,19.64
6,,225,10,7,77.04,5.1,17.81,74.85,5.19,19.63
7,,225,10,8,76.25,5.06,18.29,73.64,5.24,20.08
8,,225,10,9,75.82,5.05,18.03,72.97,5.26,20.03
9,,225,10,10,76.25,5.0,18.19,72.84,5.25,20.53
10,,225,10,11,75.72,4.77,17.18,72.03,5.12,19.75
11,,225,10,12,75.67,5.11,18.3,72.41,5.45,20.58
12,,225,10,13,75.19,4.98,17.84,71.31,5.15,19.92
13,,225,10,14,75.14,5.27,18.78,72.45,5.44,20.66
14,,225,10,15,74.48,5.18,18.1,71.32,5.29,20.04
15,,225,10,16,74.68,5.0,18.48,71.94,5.71,21.09
16,,225,10,17,73.98,5.57,18.38,70.2,5.27,19.61
17,,225,10,18,75.09,5.27,18.91,73.72,5.47,20.59
18,,225,10,19,74.08,5.14,18.39,71.91,5.59,20.76
19,,225,10,20,75.31,5.18,18.98,74.06,5.3,20.39
28,,225,10,5,76.25,5.43,18.82,73.47,5.75,21.2
29,,225,10,6,75.38,5.62,19.19,73.55,5.7,20.61
30,,225,10,7,76.94,5.15,18.06,74.85,5.25,19.74
31,,225,10,8,75.77,5.61,18.79,74.15,5.65,20.17
32,,225,10,9,76.8,5.46,18.54,74.3,5.54,20.59
33,,225,10,10,74.41,5.87,19.32,73.42,5.86,20.6
34,,225,10,11,77.05,5.25,18.48,73.99,5.49,20.87
35,,225,10,12,75.35,5.64,19.01,73.11,5.82,20.88
36,,225,10,13,76.98,5.15,18.13,72.79,5.92,21.41
37,,225,10,14,74.96,5.79,19.43,72.95,5.84,21.08
38,,225,10,15,75.48,5.37,18.72,71.54,6.04,21.6
39,,225,10,16,75.23,5.7,19.38,72.96,5.84,20.97
40,,225,10,17,74.19,5.61,19.51,70.85,6.15,22.03
41,,225,10,18,74.84,5.63,18.97,73.5,5.77,20.76
