,Sample No,Temperature/℃,Time/s,Point_No,L*Before,a*Before,b*Before,L*After,a*After,b*After
4,,225,10,5,67.98,8.02,20.36,64.62,8.83,20.97
5,,225,10,6,67.45,8.04,19.76,63.8,8.36,20.24
6,,225,10,7,67.66,7.97,20.03,63.17,8.49,20.16
7,,225,10,8,66.57,8.04,19.84,62.52,8.54,20.07
8,,225,10,9,67.73,8.33,20.28,63.06,8.87,20.41
9,,225,10,10,66.85,8.03,20.08,62.45,8.72,20.43
10,,225,10,11,67.6,8.42,20.61,64.32,9.09,21.17
11,,225,10,12,67.02,8.06,20.12,63.44,8.37,20.87
12,,225,10,13,67.31,8.06,20.09,64.55,8.61,20.85
13,,225,10,14,66.96,7.85,19.87,64.03,8.36,20.68
14,,225,10,15,67.63,7.89,20.28,65.08,8.2,20.64
15,,225,10,16,67.02,7.99,19.98,64.22,8.14,20.41
16,,225,10,17,67.59,7.98,20.19,63.4,8.39,20.61
17,,225,10,18,67.83,8.22,20.34,64.11,8.66,20.81
18,,225,10,19,66.49,8.05,20.14,63.07,8.66,20.96
19,,225,10,20,68.32,8.01,20.3,65.43,8.55,21.45
28,,225,10,5,66.84,7.43,19.37,65.19,7.61,20.11
29,,225,10,6,66.66,7.25,19.19,64.92,7.51,20.24
30,,225,10,7,67.71,7.66,19.72,64.46,8.06,20.41
31,,225,10,8,66.05,7.39,19.64,62.82,7.87,20.72
32,,225,10,9,67.12,7.28,19.34,64.58,7.46,19.73
33,,225,10,10,66.72,7.23,19.16,64.5,7.39,19.91
34,,225,10,11,67.1,7.27,19.6,64.18,7.64,20.38
35,,225,10,12,65.82,7.3,19.36,63.62,7.65,20.12
36,,225,10,13,66.84,7.28,19.1,63.87,7.65,20.27
37,,225,10,14,67.52,7.77,20.08,65.24,7.9,20.66
38,,225,10,15,68.24,6.34,18.45,65.44,6.87,19.9
39,,225,10,16,66.89,7.19,19.2,63.91,7.38,20.22
40,,225,10,17,65.83,7.23,19.08,60.79,7.87,19.71
41,,225,10,18,67.6,8.06,20.06,64.23,8.38,20.58
42,,225,10,19,65.46,7.4,19.41,60.47,7.5,19.85
43,,225,10,20,66.66,7.63,19.61,62.55,7.91,19.85
52,,225,10,5,74.87,7.3,20.07,72.66,7.43,20.89
53,,225,10,6,71.96,7.17,20.58,69.47,7.72,21.72
54,,225,10,7,74.16,6.65,19.24,70.73,6.93,20.2
