,Sample No,Temperature/℃,Time/s,Point_No,L*Before,a*Before,b*Before,L*After,a*After,b*After
4,,225,10,5,76.83,2.91,19.4,73.3,3.01,25.25
5,,225,10,6,77.61,3.23,19.19,74.14,3.23,24.99
6,,225,10,7,76.46,2.84,19.59,72.47,2.94,25.41
7,,225,10,8,77.38,3.29,19.42,73.65,3.39,25.49
8,,225,10,9,76.43,2.85,19.42,72.42,3.01,25.45
9,,225,10,10,77.66,3.18,18.97,73.38,3.22,25.1
10,,225,10,11,76.68,2.9,19.67,72.45,2.99,25.79
11,,225,10,12,77.51,3.28,19.44,73.41,3.41,25.56
12,,225,10,13,76.79,2.94,20,73.02,3.07,26.06
13,,225,10,14,77.2,3.22,19.51,72.77,3.4,25.82
14,,225,10,15,76.31,2.9,19.88,72.65,2.98,25.75
15,,225,10,16,76.7,3.22,19.79,72.62,3.33,25.94
16,,225,10,17,76.77,2.92,20.3,73.14,3.08,25.61
17,,225,10,18,76.3,3.11,19.71,72.58,3.28,25.6
18,,225,10,19,76.56,2.94,20.13,73.6,2.99,25.03
19,,225,10,20,76.22,2.99,19.45,73.09,3.18,25.08
29,,225,10,6,73.93,1.91,18.05,71.75,1.54,20.33
30,,225,10,7,73.68,1.98,18.38,71.54,1.77,20.69
31,,225,10,8,74.48,1.91,17.69,71.59,1.47,20.42
32,,225,10,9,73.73,1.98,18.25,71.18,1.71,20.79
33,,225,10,10,74.79,1.82,17.72,71.38,1.56,20.54
34,,225,10,11,73.14,2.07,18.56,70.28,1.7,21.08
35,,225,10,12,73.11,1.87,18.14,69.74,1.7,20.57
36,,225,10,13,74.64,1.88,18,71.68,1.6,20.71
37,,225,10,14,73.95,2.02,18.66,70.09,1.85,21.68
38,,225,10,15,73.01,1.24,17.52,68.83,1.14,20.55
39,,225,10,16,74.38,1.67,18.11,70.04,1.55,21.32
40,,225,10,17,70.99,2,18.55,66.82,1.68,21.27
41,,225,10,18,74.6,1.75,17.81,70.09,1.54,21.41
42,,225,10,19,72.13,1.58,17.75,67.11,1.48,20.95
43,,225,10,20,74.63,1.81,18,70.04,1.63,21.45
52,,225,10,5,72.82,1.29,23.8,68.96,1.45,25.68
53,,225,10,6,73.51,1.65,23.25,69.74,1.7,25.37
54,,225,10,7,72.35,1.32,23.68,68.79,1.39,25.67
55,,225,10,8,71.32,1.26,23.44,68.8,1.39,25.54
56,,225,10,9,72.67,1.36,24.03,68.62,1.4,25.81
57,,225,10,10,72.93,1.5,23.86,69.22,1.5,25.75
58,,225,10,11,72.98,1.64,24.07,69.17,1.73,26.08
59,,225,10,12,73.19,1.5,23.57,69.65,1.61,25.81
60,,225,10,13,73.47,1.55,23.71,69.49,1.7,25.95
61,,225,10,14,73.33,1.49,23.58,69.44,1.63,25.85
62,,225,10,15,73.27,1.62,23.98,69.35,1.88,25.95
63,,225,10,16,73.73,1.55,23.43,69.61,1.77,25.87
64,,225,10,17,73.51,1.51,23.13,70.15,1.5,25.29
65,,225,10,18,73.99,1.5,22.91,70.24,1.71,25.75
66,,225,10,19,73.21,1.45,23.21,70.09,1.43,25.2
67,,225,10,20,73.57,1.52,22.86,70.26,1.57,25.22
4,,225,20,5,81.82,3.2,16.75,78.95,3.95,19.54
5,,225,20,6,81.65,3.23,17.08,78.63,4.11,20.2
6,,225,20,7,81.75,3.15,16.61,78.94,3.83,19.54
7,,225,20,8,81.57,3.22,17.12,78.51,4.12,20.09
8,,225,20,9,81.8,3.15,16.51,78.49,3.96,19.53
9,,225,20,10,81.76,3.13,16.93,77.94,4.42,20.74
10,,225,20,11,81.78,3.11,16.19,78.21,4.1,19.51
11,,225,20,12,81.8,3.1,16.42,77.98,4.09,19.83
12,,225,20,13,81.46,2.92,16.08,77.59,4.04,19.86
13,,225,20,14,81.44,3.07,16.6,77.75,4.2,20.26
14,,225,20,15,81.93,3.01,16.11,78.36,3.78,19.4
15,,225,20,16,81.7,3.14,16.72,78.01,4.14,20
16,,225,20,17,81.76,3.1,16.44,77.79,4.08,20.13
17,,225,20,18,81.11,3.15,16.93,78.17,4.01,19.99
18,,225,20,19,82.14,3.06,16.42,78.52,3.89,19.69
19,,225,20,20,81.23,3.16,16.87,78.2,3.7,19.85
